probeName	GSM534579	GSM534580	GSM534581	GSM534582	GSM534583	GSM534584	GSM534585	GSM534586	GSM534587	GSM534588	GSM534589	GSM534590	GSM534591	GSM534592	GSM534593	GSM534594	GSM534595	GSM534596	GSM534597	GSM534598	GSM534599	GSM534600	GSM534601	GSM534602	GSM534603	GSM534604	GSM534605	GSM534606	GSM534607	GSM534608	GSM534609	GSM534610	GSM534611	GSM534612	GSM534613	GSM534614	GSM534615	GSM534616	GSM534617	GSM534618	GSM534619	GSM534620	GSM534621	GSM534622	GSM534623	GSM534624	GSM534625	GSM534626	GSM534627	GSM534628	GSM534629	GSM534630	GSM534631	GSM534632	GSM534633	GSM534634	GSM534635	GSM534636	GSM534637	GSM534638	GSM534639	GSM534640	GSM534641	GSM534642	GSM534643	GSM534644	GSM534645	GSM534646	GSM534647	GSM534648	GSM534649	GSM534650	GSM534651	GSM534652	GSM534653	GSM534654	GSM534655	GSM534656	GSM534657	GSM534658	GSM534659	GSM534660	GSM534661	GSM534662	GSM534663	GSM534664	GSM534665	GSM534666	GSM534667	GSM534668	GSM534669	GSM534670	GSM534671	GSM534672	GSM534673	GSM534674	GSM534675	GSM534676	GSM534677	GSM534678	GSM534679	GSM534680	GSM534681	GSM534682	GSM534683	GSM534685	GSM534686	GSM534687	GSM534688	GSM534689	GSM534690	GSM534691	GSM534692	GSM534693	GSM534694	GSM534695	GSM534696	GSM534697	GSM534698	GSM534699	GSM534700	GSM534701	GSM534702	GSM534703	GSM534704	GSM534705	GSM534706	GSM534707	GSM534708	GSM534709	GSM534710	GSM534711	GSM534712	GSM534713	GSM534714	GSM534715	GSM534716	GSM534717	GSM534718	GSM534719	GSM534720	GSM534721	GSM534722
LOC_Os03g38210.1	-8.265265	-7.7005453	-7.235401	-7.6938763	-7.1762705	-7.557584	-8.264055	-8.458514	-8.200002	-6.770207	-5.8068385	-5.3719597	-7.768592	-8.8178	-6.7469187	-6.652843	-6.942737	-6.8902793	-7.483338	-6.791357	-5.6771216	-5.6130486	-6.0413375	-7.718102	-6.4635525	-5.374048	-6.5030794	-3.1537876	-4.6873417	-3.9331264	-4.3834534	-4.246159	-5.3209405	-4.170904	-3.1653032	-3.6573367	-3.1606545	-3.822393	-4.7825036	-3.230019	-2.7587118	-2.9665985	-6.8286204	-7.12718	-7.795972	-5.3816514	-7.0459847	-5.457497	-6.8172956	-6.9827952	-6.0408115	-3.0010128	-4.238758	-3.7677217	-8.955015	-8.534919	-7.7675586	-9.268696	-8.9898615	-7.7181654	-7.8171854	-7.863567	-7.63365	-2.5120382	-4.28666	-4.2339554	-4.2741656	-4.243991	4.7647953	4.2317753	4.2522373	0.13582516	-1.1000042	-0.3300171	-5.0874195	-5.212163	-5.112724	-5.2356725	-5.1893673	-4.7716284	-4.850614	-3.2440977	-4.509711	-7.3270035	-6.386726	-6.2126217	-7.2424026	-7.4052067	-6.375798	-5.076619	-5.356748	-5.303355	-6.1910477	-6.3455067	-6.26853	-2.7695475	-5.1345625	-4.2925806	-5.959669	-2.0502825	-5.323689	-0.29539204	-0.09707546	0.56439114	-1.2510624	-0.900053	-0.782176	0.8364849	0.7143402	1.0336285	0.3296051	0.3829794	0.85481167	-3.8360476	-3.0282536	-4.0917535	-4.3707404	-4.773537	-5.8970156	-5.4509573	-4.0758967	-3.2422605	-1.716032	-2.3080988	-2.2057543	-1.5021038	-1.4933023	-1.6450329	0.8616524	0.8685961	0.63644505	0.58179855	0.69110966	0.71082115	-0.7358351	-0.31045723	-1.0490818	-2.4437032	-2.3538556	-2.3924685	-1.252204	-1.1775675	-0.90178967
LOC_Os04g58730.1	4.252927	4.1833973	4.062113	4.618354	4.843315	4.783247	3.3892717	3.888195	3.7759686	3.7033272	3.9361992	3.6051168	2.8327532	3.4544182	3.2457361	3.793233	4.108802	3.8253403	2.1473894	2.2031784	1.981329	2.4205675	2.6901321	2.3939114	2.128911	1.710495	1.8516922	2.4482288	3.0060244	2.1800823	-2.5118341	-2.2570372	-2.0845509	-2.3940763	-2.2465677	-1.9353752	-1.4819164	-1.6615238	-0.5304222	-1.8675661	-1.7294807	-1.4667702	0.34087086	0.32560062	0.056663513	1.3431845	0.8578291	1.5785742	2.0335197	1.8717957	2.0342636	2.4061117	2.3689203	2.090023	0.07609844	0.17287922	1.0190353	0.54998016	1.4525518	1.6047258	1.3951616	1.7001143	3.1876135	2.479641	0.34063244	-0.003367424	-0.6925669	1.519002	0.42713928	-0.031128883	1.1616745	0.35494614	0.6463833	0.15386963	1.4710674	2.2006254	2.9035606	2.489294	3.2414112	2.1260662	2.9627686	3.1279325	1.940177	1.0795641	1.5580835	1.1327105	0.80457115	1.4966116	0.8958454	1.7033997	1.7753887	2.1659288	1.849843	1.9372807	1.9992561	3.7702847	2.642603	3.1452713	2.7634678	3.3536196	3.1710596	0.74498177	0.25678444	0.78227615	0.534873	0.8260889	0.9380264	-0.050302505	0.5527029	0.7381363	1.5023785	1.1194992	0.91932297	-0.058966637	0.27235413	-0.065089226	0.28415298	0.7352562	0.510252	1.0717802	1.045249	0.73226166	0.73551464	0.77794456	0.6991682	0.49068356	0.73011875	0.7565775	0.057665825	0.83236027	1.0856457	0.22358608	0.38997078	0.7183447	0.39268398	1.0382271	1.3503408	1.4224281	1.7922678	2.1827583	1.5404711	1.8934679	2.1240997
LOC_Os12g15680.1	-8.452056	-8.079865	-7.320594	-9.292377	-8.890413	-7.608819	-8.314143	-6.5842557	-7.3784847	-7.23901	-7.1709175	-5.6900296	-4.874661	-5.4812646	-6.9143934	-3.180963	-3.3581753	-2.2646112	-4.4159036	-2.0364838	-3.7308073	-2.0605192	-1.5305691	-4.1596828	-3.4151368	-3.3888032	-4.6440063	-3.1138606	-3.5874248	-4.401892	-0.21331882	-0.31160736	-0.3857622	-0.22854996	-0.23681927	-0.014608383	3.424364	2.4774313	1.983758	2.8953953	3.3592377	2.7471533	-8.106095	-9.1863	-7.8066874	-7.646306	-9.699532	-8.151327	-8.563604	-7.77143	-7.103533	-6.374481	-9.282764	-8.208282	-9.111642	-9.542173	-7.8797493	-7.8463364	-9.192583	-7.8141465	-8.462168	-8.234322	-7.767991	-7.7616873	-7.595337	-8.658955	-8.318289	-7.345955	-8.651108	-9.325072	-7.558525	-8.393291	-8.4424515	-7.9687605	-8.4792	-7.7238755	-6.4871283	-8.165162	-7.3295026	-6.696025	-8.537189	-9.279545	-6.4664054	-7.8515587	-8.304835	-7.892313	-7.5433903	-8.221851	-6.7772903	-8.2639885	-7.8870406	-7.047789	-7.5917616	-8.070455	-6.7666044	-5.9966583	-8.890783	-7.038055	-9.185518	-4.264678	-7.05266	-8.336796	-7.438287	-6.630196	-8.01214	-7.9862595	-5.6195955	-9.160347	-8.145457	-7.443599	-5.0908256	-7.696885	-3.7801943	-7.8575745	-8.045673	-7.756287	-8.67136	-9.111588	-8.47723	-7.96099	-8.083143	-8.351946	-5.25635	-6.1506186	-7.663118	-4.9311633	-8.325039	-8.00229	-3.5762062	-3.7859216	-3.041347	-4.4189506	-2.5677247	-1.765831	-5.531694	-3.9712615	-4.5128617	-0.9957905	-1.5720725	-1.8912406	-7.532353	-6.293111	-3.7902088
LOC_Os03g52840.3	6.3095665	6.3582754	6.8324223	5.9141626	5.9483356	6.6083937	5.019681	5.9783792	6.522872	5.0568666	5.75488	6.088314	5.6535053	5.960615	6.0210094	5.4444733	5.603817	5.2922163	4.335804	4.7322006	4.633005	3.456046	3.8192463	3.8704653	4.9660597	4.485902	4.397954	4.2884035	5.184477	4.2970963	3.4333515	3.591814	3.6326303	3.5246763	3.4810705	3.536149	2.8525944	2.9649487	3.3350477	2.3913517	2.6057491	3.2369556	2.423378	3.581853	3.0808372	3.9492102	3.437522	4.877863	4.853446	4.9719496	4.506364	3.8353662	5.0176888	4.9737215	1.5256596	1.574481	1.7420912	1.7512207	1.8984003	1.8516092	1.7625179	1.7938442	1.7429771	1.2729921	1.1967745	0.54238987	0.35395718	0.33786964	0.54568577	0.6438618	0.5498276	1.1313982	1.4905529	0.8445854	1.3467188	1.2351723	1.504509	1.4240465	1.7333393	1.4681559	1.8494291	1.9596653	1.5175352	1.316329	1.5740175	1.4001217	1.435174	1.6238661	1.3252382	2.3253727	2.157339	2.4103231	2.105318	2.1628132	2.2818785	3.941966	4.4809647	4.7030554	4.9211254	4.4581194	4.9803123	1.1708317	1.0332651	1.227663	2.151412	1.9457932	2.0226288	2.7838907	2.7954817	2.8980713	2.982172	2.8486834	2.976406	1.4606447	1.5300732	1.6744423	1.7735224	2.1362867	1.5858755	1.7797451	1.9619179	2.021185	1.7184381	1.5200834	1.3839912	1.2448912	1.300456	1.2734785	3.11032	2.9431248	3.0116348	2.8517914	2.9858875	2.7839355	2.3254538	2.6989527	2.4217176	1.4765749	1.4512815	1.614294	0.9448767	1.0725622	1.115324
LOC_Os06g28840.1	-0.076488495	-0.69298935	-0.96321964	-0.30252457	-0.79974365	-0.7981615	-0.71194553	-0.69549084	-0.95259094	-0.16906929	-0.69373417	-1.2409611	-1.1024313	-1.1638126	-1.5616474	-0.4493513	-0.28571892	-0.29941368	-2.8341713	-3.0213966	-2.2426386	-2.2784796	-1.7012615	-1.8726406	-2.0650434	-2.5391254	-2.7490063	-1.3727541	-0.89327145	-1.2415056	-3.8297253	-4.1630793	-4.6152864	-3.4921665	-3.9599967	-4.05192	-4.204379	-3.9308066	-4.1285415	-3.2888393	-3.8246288	-3.6068044	-2.303811	-2.5765476	-2.6054287	-1.1333342	-2.059001	-1.9490709	-3.601447	-3.3277636	-3.8750877	-2.3908072	-2.2290068	-2.085764	-1.9373541	-1.7349701	-2.032607	-1.744978	-1.8015375	-1.8278685	-1.8914776	-1.5429993	-1.7527285	-2.7351446	-2.6231852	-2.3424149	-2.5495844	-2.2774901	-2.8455696	-2.4838629	-3.5546856	-3.8067098	-4.050042	-3.4960651	-2.0453577	-2.0324078	-2.352519	-1.7845287	-2.1903925	-1.6702194	-1.5287981	-1.780098	-1.8919535	-1.9356241	-2.2469282	-2.221201	-2.128571	-1.9281816	-2.3729882	-2.2381954	-2.4553404	-2.119357	-2.5807161	-2.1780186	-2.170023	-2.5504913	-1.8499899	-2.2311335	-1.8812208	-2.6630144	-1.9945221	-2.3922844	-2.4142485	-2.7041416	-2.3372097	-2.3131237	-2.8081484	-3.249096	-3.1083603	-3.6987495	-3.9431868	-3.5539098	-3.728229	-3.6659307	-3.6654854	-3.4756775	-3.0784092	-3.2651691	-3.6252365	-3.2683759	-3.0739546	-3.0952687	-2.938365	-3.0060139	-2.830886	-4.480493	-2.6525679	-2.6842241	-4.3288307	-4.917121	-5.0152445	-3.914526	-3.8808389	-4.126219	-4.028072	-4.46153	-4.5518794	-6.0361295	-5.68773	-5.5793877	-3.3568597	-4.236471	-4.3144445
LOC_Os02g03750.1	-8.362658	-8.945957	-7.319215	-7.1356325	-8.140421	-7.6078424	-7.2417045	-8.029447	-8.268683	-7.908231	-7.364325	-7.3985996	-7.9156322	-8.971865	-8.023904	-8.128984	-8.936262	-8.5665455	-6.511972	-9.455141	-6.918212	-7.916499	-5.6934586	-5.6530595	-6.6312566	-5.533482	-6.6697044	-8.87189	-9.160781	-7.096222	-6.679248	-6.373575	-6.7498074	-6.4463553	-6.910696	-6.591998	-7.697751	-8.293656	-8.4693575	-8.4366665	-8.150731	-8.490313	-5.5680895	-4.2993913	-3.7361412	-4.005321	-3.3736038	-6.946053	-3.5184574	-3.3674545	-4.995855	-5.671556	-3.6119862	-3.909317	-7.594636	-9.063706	-7.882353	-7.2161384	-6.6174717	-6.968142	-6.537062	-7.0953913	-7.767019	-2.2177439	-3.071556	-1.5749454	-1.3326015	-1.7372608	-2.257268	-2.0717869	-3.0822954	-5.5541706	-6.449219	-3.1614256	-6.3010764	-6.3050294	-5.0526943	-6.219902	-6.026988	-5.2700524	-6.557887	-5.9580903	-5.800541	-5.3152018	-5.9730353	-6.481104	-4.963148	-4.686177	-5.5317926	-5.3540597	-5.1795454	-4.3401904	-4.9369845	-5.0067825	-3.6712117	-9.329995	-8.888142	-8.562973	-9.185991	-10.087913	-7.905957	-7.1947136	-6.444811	-6.3514876	-6.556638	-6.528113	-5.897217	-9.158781	-8.643422	-8.075305	-6.6775017	-5.8296833	-7.770523	-9.58381	-7.7478805	-9.587036	-9.427972	-9.116635	-8.493561	-7.97633	-8.087578	-8.355705	-8.891977	-8.224381	-7.8784347	-4.9280944	-8.321314	-8.115934	-7.228401	-7.436796	-6.986951	-4.8362174	-5.684766	-5.964617	-3.4710708	-3.7321463	-2.7244735	-2.795877	-2.0970125	-2.7141309	-2.9863892	-3.3916183	-2.8201938
LOC_Os07g47100.2	-2.295186	-2.6259975	-2.0077868	-1.9054079	-2.256281	-1.6512623	-1.1462564	-1.8216496	-1.583003	-1.710371	-1.887558	-1.3585968	-2.6336517	-2.4044142	-2.415474	-2.6776705	-2.378703	-1.4570446	-0.09279728	-0.7232933	-0.64493084	0.12046242	-0.024606705	-0.12228298	-1.1458097	-1.8163371	-1.8041415	-2.4622078	-2.5214586	-1.5612969	-0.9692154	-1.389576	-0.4983797	-0.67950153	-1.5505323	-1.2937965	-3.1817427	-2.7453299	-1.3445368	-1.5178986	-2.2575178	-1.5331964	1.8195143	1.7480612	1.8266592	-0.45523262	0.716074	-0.16228676	-0.16461945	-0.11680794	0.6677675	0.17888927	-1.0293455	-0.8062935	-0.07020664	-0.19570732	-0.1784563	0.81404686	0.87212086	0.551486	0.87422276	1.1329031	1.020298	-0.032910347	0.49792576	0.37069607	0.5480757	0.88801	-0.031253815	0.1740017	-0.68142986	0.30924702	0.33714008	0.09395504	0.14003372	0.18423176	0.19468117	0.016802788	-0.4844427	-0.35170364	-0.2855091	-0.47792053	-0.16886044	1.7208719	1.8965836	1.1453972	2.3018494	2.086297	1.6999006	1.9507084	1.4001026	0.6360922	1.3129625	1.5903778	0.7941599	-2.5438156	-1.0820837	-1.4836473	-1.4861555	-2.0165253	-1.5570269	-0.37976837	0.054732323	-0.08808136	0.4465227	0.39587784	0.3794384	-2.1369038	-2.0547237	-2.0823717	-2.5998821	-2.3870497	-2.283288	-1.1530371	-1.1077862	-1.0185003	-0.6969156	-0.97568035	-1.1355524	-1.4447575	-1.3577242	-0.9402256	-1.753746	-1.8239174	-1.9919634	-2.1567917	-2.1571903	-2.0895615	-2.6445498	-3.0064483	-2.963904	-2.8407269	-2.7975855	-2.4979897	-2.0911741	-2.2146544	-1.5988264	0.39808083	0.39356613	0.26350117	-0.07926369	-0.21540356	0.08174896
LOC_Os02g05670.1	-8.318809	-9.041943	-7.403451	-8.6641	-8.997978	-7.6201105	-8.248279	-9.081523	-7.552327	-8.663603	-9.1713	-7.0034547	-8.0368595	-8.560154	-7.8844366	-8.248982	-8.782763	-8.469326	-8.088178	-6.5207243	-8.194368	-5.9797816	-5.9738	-9.184589	-6.7437353	-5.6190047	-6.8013363	-7.8396482	-8.4708605	-7.1821537	-5.362597	-4.054988	-9.045156	-5.2333565	-2.7975225	-5.566022	-4.563158	-3.3560963	-6.5948153	-6.230469	-3.7737846	-9.162401	-9.947683	-9.950624	-8.0693865	-8.783153	-9.628254	-7.3019977	-7.86966	-7.666105	-8.184249	-7.975337	-3.7217045	-6.9141216	-9.310625	-8.983536	-4.4352846	-9.589895	-9.323035	-7.9178057	-8.591742	-10.183978	-7.867248	-9.318654	-7.5301037	-9.941628	-9.792278	3.630474	-5.193266	0.93986607	-0.3534317	-9.411913	-8.259951	-2.950962	-9.382288	-10.035853	-4.6521697	-8.710208	-8.984316	-3.9929442	-10.315484	-9.952791	-5.1113796	0.169137	-8.433548	-0.22323418	-0.5184431	-8.383897	2.3660612	-8.401028	-10.312299	-5.043532	-8.369733	-8.188638	-5.900061	-3.2808666	-4.9029045	-8.685292	-6.554698	-6.0288963	-6.893716	-0.30798244	0.59027576	0.22627354	-3.2896385	-4.3985734	-3.0905857	-5.404567	-7.157666	-5.1397395	-8.510107	-5.068097	-5.676489	-9.704638	-9.755936	-9.761986	-9.526176	-9.2581215	-8.694035	-8.135151	-7.842048	-8.49438	-9.014467	-8.421854	-8.023017	-5.1597753	-8.465991	-8.240597	-8.058752	-7.5895658	-8.359322	-7.8275456	-8.263428	-8.258543	-7.672389	-7.783634	-8.092884	-6.660347	-6.939543	-7.2729325	-7.692045	-8.063012	-7.94074
LOC_Os09g07320.2	-6.4637194	-7.0859823	-6.5034037	-5.529607	-6.7839837	-7.163253	-5.7215233	-6.360834	-5.993546	-5.4990306	-6.032042	-8.380039	-4.8884864	-5.5776815	-5.317563	-5.6537313	-5.325329	-4.737627	-8.429705	-7.395196	-7.1385922	-7.8402596	-7.3593183	-7.570021	-6.5802274	-5.48678	-6.6280904	-7.7967577	-6.5564923	-7.0624456	-7.631499	-7.183371	-8.033388	-8.427892	-6.8023615	-7.7343273	-6.5273733	-8.264198	-7.608392	-7.504909	-7.964776	-7.9083147	-7.294	-7.4159703	-7.9163857	-7.073355	-7.7123847	-7.065198	-7.8810363	-7.2331343	-8.061907	-8.361162	-6.7422657	-7.446148	-8.135872	-8.31283	-7.849027	-8.230223	-8.100262	-7.057805	-8.307748	-7.4847336	-6.804462	-8.899607	-6.984903	-7.72934	-7.760836	-8.236398	-8.462228	-7.490925	-9.475252	-8.265362	-9.392	-8.62586	-8.297475	-7.3579683	-8.450636	-7.430265	-6.9073076	-7.587395	-7.338023	-7.1032305	-7.7291574	-7.8147306	-8.068148	-7.9915056	-7.422519	-8.176287	-7.2859073	-7.5382233	-7.5474534	-7.723239	-8.095072	-8.031943	-8.237891	-8.145931	-8.384742	-8.971217	-8.021141	-7.6111345	-8.854021	-8.509785	-8.667064	-7.3360357	-7.9620924	-8.361883	-7.822982	-7.7208195	-8.593569	-8.060519	-8.37505	-7.407994	-8.947998	-7.188626	-7.4598155	-7.15777	-6.8341923	-6.380189	-7.115653	-6.9874325	-6.5094223	-6.339177	-5.48195	-5.849661	-5.5541277	-4.870503	-5.7506022	-5.343835	-7.8744764	-7.3905687	-8.16332	-7.8802967	-8.157762	-8.097369	-7.5139637	-7.6320987	-7.925925	-6.6952467	-6.7729235	-6.871438	-5.896694	-5.7331953	-5.3954105
LOC_Os04g25740.1	-3.792345	-3.7095528	-3.1120005	-3.7135544	-3.4326324	-2.8798013	-2.7590647	-2.0152931	-2.0256853	-2.7160273	-2.2144775	-2.234743	-2.2529125	-1.9538069	-2.1906404	-2.9985328	-2.8031693	-2.5005293	-3.798318	-3.3969622	-3.404581	-5.153166	-5.072417	-5.8823113	-2.2829208	-2.0516486	-2.5367641	-2.2978773	-2.5079012	-3.4320474	-6.5603833	-6.008487	-7.364885	-7.2930465	-5.181063	-7.0833173	-2.810162	-4.5845246	-5.2389054	-5.4955177	-4.788404	-5.790962	-4.6943088	-4.4244394	-4.991082	-3.4906254	-6.011775	-3.3464117	-2.84766	-2.9371462	-2.8549318	-3.8061361	-4.5743155	-4.6385975	-6.2581997	-5.761926	-5.418441	-6.7859426	-6.7567596	-4.883038	-6.3134837	-6.6686444	-5.004087	-3.6931615	-3.745583	-5.274929	-5.463402	-3.6635933	-4.659987	-5.139212	-4.0406327	-6.4159894	-8.012432	-5.858706	-5.144157	-4.8789163	-4.3860807	-4.4355803	-4.0939765	-4.5215926	-4.0088787	-3.80589	-4.571026	-3.9543533	-4.65369	-3.5668268	-3.328895	-4.7455235	-2.3905592	-5.1661906	-4.813669	-4.6179237	-4.523624	-5.3033323	-3.944707	-4.0440135	-4.7912517	-3.9212103	-4.5309205	-3.914647	-3.9264374	-4.9257836	-3.916307	-3.7162333	-7.825302	-7.1911135	-7.2559223	-9.034116	-8.210552	-9.3112545	-6.929091	-6.3623176	-7.2185283	-6.9812636	-7.117953	-7.9096026	-7.9173384	-7.3898044	-7.4963827	-7.4559255	-7.871505	-7.8197403	-6.633422	-6.7979774	-6.8516383	-4.79786	-6.25948	-6.6548095	-6.8249555	-7.3233604	-6.752384	-7.7825646	-7.6352053	-7.5019126	-6.9913845	-7.59181	-6.027543	-6.6440325	-6.1261363	-7.094003	-6.4455667	-7.2710485	-5.5477233
