probeName	GSM534579	GSM534580	GSM534581	GSM534582	GSM534583	GSM534584	GSM534597	GSM534598	GSM534599	GSM534600	GSM534601	GSM534602
LOC_Os03g38210.1	-8.265265	-7.7005453	-7.235401	-7.6938763	-7.1762705	-7.557584	-7.483338	-6.791357	-5.6771216	-5.6130486	-6.0413375	-7.718102
LOC_Os04g58730.1	4.252927	4.1833973	4.062113	4.618354	4.843315	4.783247	2.1473894	2.2031784	1.981329	2.4205675	2.6901321	2.3939114
LOC_Os12g15680.1	-8.452056	-8.079865	-7.320594	-9.292377	-8.890413	-7.608819	-4.4159036	-2.0364838	-3.7308073	-2.0605192	-1.5305691	-4.1596828
LOC_Os03g52840.3	6.3095665	6.3582754	6.8324223	5.9141626	5.9483356	6.6083937	4.335804	4.7322006	4.633005	3.456046	3.8192463	3.8704653
LOC_Os06g28840.1	-0.076488495	-0.69298935	-0.96321964	-0.30252457	-0.79974365	-0.7981615	-2.8341713	-3.0213966	-2.2426386	-2.2784796	-1.7012615	-1.8726406
LOC_Os02g03750.1	-8.362658	-8.945957	-7.319215	-7.1356325	-8.140421	-7.6078424	-6.511972	-9.455141	-6.918212	-7.916499	-5.6934586	-5.6530595
LOC_Os07g47100.2	-2.295186	-2.6259975	-2.0077868	-1.9054079	-2.256281	-1.6512623	-0.09279728	-0.7232933	-0.64493084	0.12046242	-0.024606705	-0.12228298
LOC_Os02g05670.1	-8.318809	-9.041943	-7.403451	-8.6641	-8.997978	-7.6201105	-8.088178	-6.5207243	-8.194368	-5.9797816	-5.9738	-9.184589
LOC_Os09g07320.2	-6.4637194	-7.0859823	-6.5034037	-5.529607	-6.7839837	-7.163253	-8.429705	-7.395196	-7.1385922	-7.8402596	-7.3593183	-7.570021
LOC_Os04g25740.1	-3.792345	-3.7095528	-3.1120005	-3.7135544	-3.4326324	-2.8798013	-3.798318	-3.3969622	-3.404581	-5.153166	-5.072417	-5.8823113
LOC_Os07g33630.1	-0.15870953	-0.613657	-0.1738882	-0.44005966	-0.8422203	-0.5935135	1.2839966	0.76981926	1.9332247	1.3647137	1.8615351	1.8114061
LOC_Os05g12400.1	-2.2658548	-2.591714	-1.1077852	-1.4935493	-1.9654694	0.35079098	-0.06279087	-1.2343807	0.26416397	-1.3352785	-0.6458883	-0.20046616
LOC_Os04g58070.1	-6.8240666	-3.9735146	-6.52153	-7.823311	-8.115408	-6.14721	-5.9971924	-8.106396	-6.99238	-6.555094	-6.402325	-7.160074
LOC_Os04g35560.2	-2.181573	-2.3766556	-1.9586096	-3.5719185	-3.6531014	-3.2038069	-3.0407286	-2.1045523	-2.4152155	-3.3503819	-3.6418056	-3.559887
LOC_Os04g39430.2	-3.1775699	-2.6395245	-2.9469304	-2.0622177	-2.0833616	-0.80101967	-1.7557869	-2.8722143	-2.9502783	-1.6754465	-1.6941586	-1.2004061
LOC_Os12g08760.1	3.530882	2.6125917	4.4056597	1.6281633	1.8444195	1.2929668	3.4276133	1.2693186	3.1596432	1.9034472	2.9584627	2.731923
LOC_Os08g29200.1	-4.8336787	-4.561344	-4.6603866	-4.7697835	-4.801407	-3.8606186	2.8063955	1.5125618	3.1857538	2.7625818	3.4573975	3.4327612
LOC_Os08g39890.1	-6.7040534	-6.611338	-4.856289	-6.6710277	-2.3501348	-5.2724566	-1.0383587	-2.5689516	-3.3393316	-0.62183094	-0.8002434	-0.55781937
LOC_Os12g02660.5	-4.5869904	-5.6923833	-5.101963	-6.7720494	-5.1457987	-7.645095	-7.1580267	-5.8159437	-5.8601546	-6.990806	-7.1108103	-8.871909
LOC_Os01g42520.1	-1.3967686	-1.3356199	2.238758	-5.0399876	-3.7184896	1.7408524	2.1250458	0.38771534	1.0039797	1.434185	1.1182289	1.4785728
LOC_Os09g33930.5	1.8096867	1.8674917	2.0201283	2.0880775	2.1763468	2.2271767	1.9952908	2.2716541	1.6070938	2.2014809	1.7413616	1.6977272
LOC_Os05g05800.1	-3.9274602	-4.2318716	-3.9604254	-3.7002707	-4.159246	-3.8296542	-4.176754	-4.197168	-4.223188	-4.0066133	-3.8345957	-3.0547647
LOC_Os03g31679.1	0.020243645	-0.08233547	1.0209875	1.9539928	2.2722397	2.768467	2.0628662	1.3843164	2.4564018	2.0878897	2.3325748	2.5593662
LOC_Os06g50146.1	-1.7528257	-1.5190697	-0.9815426	-1.7055931	-1.4424152	-1.149375	-1.6401749	-2.0541773	-1.2421455	-1.7821074	-1.4294415	-1.2004442
LOC_Os02g13420.1	-8.446935	-7.040039	-6.377448	-9.120448	-7.878218	-6.4975824	-7.8009887	-8.502037	-6.7210517	-8.025014	-8.109442	-6.159778
LOC_Os03g63950.2	0.50105286	0.45768547	-0.041220665	0.47954178	0.7065096	0.6726141	0.31070995	0.8829813	1.6409016	-0.31433582	0.57585907	0.27476883
LOC_Os03g58920.2	-1.3646364	-1.2048521	-1.7659473	-1.6566048	-1.7272453	-1.9833889	-2.762206	-1.6066484	-2.1940956	-2.1803188	-2.5695639	-2.4265127
LOC_Os06g40450.3	-1.3540115	-1.2710409	-1.9329491	-1.5895958	-1.4843578	-1.8822622	-0.9229555	-0.9294882	-1.151391	-0.63884354	-0.7748089	-0.44868374
LOC_Os11g14570.4	-5.9939995	-6.3667746	-5.1065774	-5.154121	-4.7618904	-4.209785	-4.4968195	-4.258426	-4.268078	-3.803238	-4.6298566	-4.2876472
LOC_Os04g58910.1	-3.0740852	-3.5268784	-3.061635	-2.679244	-2.8704052	-3.2185845	-3.119238	-3.542903	-2.0082645	-2.6845808	-1.9281597	-1.6615257
LOC_Os03g28310.1	-3.3537612	-3.6172256	-3.8184915	-3.4534101	-3.4425368	-3.8350267	-4.122696	-3.6678786	-4.08071	-3.70442	-3.6760168	-4.0842333
LOC_Os07g07910.1	-7.311159	-8.845549	-7.1539936	-7.6212025	-8.875131	-7.4997487	-9.384941	-7.7783823	-8.372122	-7.7333527	-8.000349	-9.377089
LOC_Os08g19114.1	-2.3925467	-2.2544403	-1.954277	-1.76791	-1.5738382	-2.0326366	-4.3546257	-4.708877	-3.0637245	-4.3194404	-3.470581	-3.31386
LOC_Os07g43990.1	-2.5147152	-3.5145755	0.27331448	-3.8388414	-3.7540998	-1.433814	0.5180216	-0.32898426	1.604907	0.39501286	1.1303949	1.2739563
LOC_Os02g53620.1	-5.28969	-3.5689445	-4.8265424	-6.1140575	-5.0968676	-2.928575	-8.269131	-8.339006	-8.29626	-8.78716	-8.1229515	-7.899044
LOC_Os01g63200.1	-8.465006	-8.968392	-7.317928	-9.374206	-8.899462	-7.594268	-5.3509965	-2.6967478	-4.2552233	-2.333619	-3.433959	-3.5744734
LOC_Os08g03579.1	-0.8493967	-0.48408508	-1.5179577	-0.55167866	-0.42412853	-1.2869987	1.4727774	0.6972246	0.6172333	1.8993788	1.4878616	1.4542713
LOC_Os07g30970.2	5.393667	5.5811625	5.821396	4.416774	4.8662224	4.9613514	4.826865	5.109091	4.5761967	3.9142628	3.2099972	3.5276098
LOC_Os01g57630.1	-2.4510584	-1.6805553	-3.105483	-1.7996111	-1.3724747	-2.6620884	-2.246663	-1.5648289	-2.5129871	-1.4568748	-2.0153437	-2.0103588
LOC_Os03g48180.2	-1.8481827	-2.4635944	-1.7254982	-0.37383747	-0.553442	-0.5381918	0.230196	0.08432579	0.6036892	0.44084263	1.0085392	0.94461536
LOC_Os08g36840.1	-2.9804106	-2.2650938	-2.5797281	-2.5218801	-2.0859222	-2.1678934	-2.0757532	-1.9377575	-1.8937197	-2.1751518	-2.10464	-1.8988171
LOC_Os05g14170.1	0.3789749	0.3848734	-0.0656662	0.6187277	0.47764874	-0.041410446	0.10488987	0.46683693	0.22790241	0.929718	0.8489351	0.81417656
LOC_Os05g30220.1	-1.811245	-2.0173807	-2.1778293	-1.0371675	-0.9664402	-1.4261904	-2.932148	-2.8413057	-2.4480066	-2.6447153	-2.109951	-2.2922783
LOC_Os12g16290.1	-0.7191992	-0.38745785	-0.8310299	-0.14614773	-0.041231155	-0.7359848	-1.8613033	-1.7219448	-0.6057291	-2.1129427	-1.0997906	-1.1501532
LOC_Os06g40330.1	-2.6164532	-2.5052109	-2.8497763	-2.6460905	-2.5533772	-2.6797843	-2.684761	-3.1019106	-2.7096996	-3.279399	-2.687481	-2.5291739
LOC_Os06g51310.2	-1.7179413	-1.3553905	-1.3431768	-0.14583778	0.016952515	-0.60574245	0.66232395	0.10239601	0.12062645	1.04496	1.2764063	1.1218481
LOC_Os06g23650.1	-7.453395	-7.7450757	-5.0275593	-9.5384865	-9.059237	-7.66325	-7.7299232	-8.41809	-7.9890084	-8.015299	-7.6943903	-7.112386
LOC_Os08g33488.1	-8.563535	-9.037533	-7.3754635	-9.426966	-8.956951	-7.6317744	-9.526151	-8.024263	-8.348879	-7.22389	-7.424028	-9.358113
LOC_Os05g48800.1	2.140152	2.0784016	2.3292103	2.3325243	2.4482565	2.530404	2.0701733	2.131815	1.6282253	2.3083248	1.5998325	1.6912069
LOC_Os05g14010.1	-5.2837677	-5.457811	-5.643872	-5.2251897	-5.1593714	-5.3003683	-6.7441645	-6.303866	-8.222453	-4.857889	-5.481596	-5.967693
LOC_Os01g06740.1	-1.5399828	-1.7380438	-0.5985966	-1.7942457	-1.6374645	-1.0034428	-1.9113579	-2.339923	-1.7179947	-2.35635	-2.4050674	-1.8545294
LOC_Os07g47580.3	-1.8443031	-1.7517586	-2.2097564	-2.3080816	-2.1170044	-2.4512186	-0.98206043	-0.9240551	-1.5289192	-0.68001366	-1.130475	-0.85259056
LOC_Os04g30410.1	0.3665743	0.195467	0.5456934	-0.24429226	0.070589066	0.18988514	1.5284052	0.7977867	0.8915014	2.4135838	1.9262171	1.8642778
LOC_Os05g38390.1	-3.3786654	-3.7933002	-1.9978447	-4.359381	-4.4523487	-2.9956207	-3.4262524	-4.512203	-1.1490536	-4.135437	-2.2663794	-1.9062204
LOC_Os08g37700.3	-2.4510326	-2.5028725	-2.714233	-2.6455994	-2.8312302	-3.2271318	-3.9226146	-4.1820364	-3.2353888	-4.560832	-3.2627754	-3.7023067
LOC_Os08g41080.1	-8.543738	-9.0260515	-7.3622646	-7.8443537	-8.947427	-7.051666	-9.6861	-7.6958523	-8.371147	-7.775792	-7.736179	-9.3787775
LOC_Os02g54000.1	-3.8216462	-4.1363378	-4.923016	-3.4050407	-3.9999804	-4.4346633	-5.0932393	-4.8137574	-5.041121	-4.321224	-4.1850414	-4.1010003
LOC_Os04g32460.2	0.12272835	0.45297527	0.17953014	2.1731281	2.396305	2.2585707	2.2155008	2.1651506	1.6705093	2.9159918	2.7076368	2.7754183
LOC_Os02g58480.1	-8.197723	-9.032635	-7.3660975	-9.1243	-8.95293	-7.623211	-8.185768	-8.214412	-7.240135	-6.8170457	-6.635214	-6.7679086
LOC_Os06g46670.2	0.40462494	0.11158371	0.5555086	-0.34955597	-0.7062254	-0.6173315	-1.4897709	-0.96927166	-1.059454	-1.8661795	-1.6957207	-1.7890673
LOC_Os01g69830.1	-3.8829393	-4.882663	-4.4105988	-4.2680697	-5.023778	-4.3671293	-1.500576	-1.7449083	-0.46939182	-1.2804565	-0.87156963	-1.1775656
LOC_Os02g13270.1	2.1088858	2.002037	2.0185423	0.74872494	0.64459705	1.0724602	0.8724823	1.133028	0.7143698	0.44857597	0.03644848	0.38475513
LOC_Os02g49840.4	-0.0860796	0.15835762	0.26323795	0.42521477	0.7828703	0.41034126	-3.0428677	-3.1003628	-2.9051266	-4.8042464	-3.2684135	-3.539752
LOC_Os02g44360.1	0.8305836	0.15355206	0.11690903	1.1934385	0.78809834	0.56461143	-2.218134	-1.822299	-2.0336475	-0.8574581	-1.1018305	-1.2659836
LOC_Os11g42090.1	-5.5440645	-3.5129752	-3.530592	-5.650649	-3.7892075	-3.693881	-3.3739243	-3.1384678	-3.5694761	-2.8909159	-2.9214811	-3.0898418
LOC_Os02g35039.2	0.52748394	0.46294308	0.74488735	0.45997047	0.4393959	0.7573509	-0.10580826	0.10247326	-0.110339165	-0.03345108	-0.15937138	0.17058182
LOC_Os03g48970.4	-1.503603	-1.7903919	-1.286808	-1.9690561	-2.0260115	-1.7469492	-2.3876925	-2.4504375	-1.6849623	-2.771967	-2.245658	-2.1705656
LOC_Os12g29980.2	-8.371834	-8.962221	-7.3024178	-9.395887	-8.873589	-7.566861	-1.4787464	-1.6503477	-5.2467427	-0.7632961	-1.2311077	-0.88956356
LOC_Os06g05530.3	-2.4490376	-2.4288483	-2.7005072	-2.2864208	-2.402485	-2.361001	-2.6333704	-2.5057974	-2.6874065	-2.5843544	-2.4811077	-2.684947
LOC_Os12g12600.1	-7.9203463	-5.3495975	-7.4654818	-6.902927	-9.075836	-7.6722283	-8.535114	-7.2045465	-8.212206	-6.926234	-6.72275	-8.581608
LOC_Os08g44210.1	-1.6870184	-1.9430199	-2.049285	-2.419527	-2.4748478	-2.675171	-2.235448	-2.2747078	-2.1262264	-2.5361938	-2.3451843	-2.1433449
LOC_Os02g49090.2	-2.509163	-2.8396015	-3.1132903	-1.9828835	-2.2733831	-2.7218208	-4.045373	-3.357297	-3.3240547	-2.1653194	-2.1380167	-2.2931824
LOC_Os01g54100.2	2.011941	2.1639633	2.1615667	2.0837889	2.1844883	2.1634989	1.727313	1.8184032	1.5950823	1.8162308	1.8019753	1.7984762
LOC_Os01g65780.3	0.29665947	-0.110328674	1.4765768	3.0429058	3.208662	3.6424093	1.439271	0.2721386	1.9609251	1.8629284	2.3007555	2.2065458
LOC_Os01g62480.1	-8.603332	-9.075174	-3.115933	-9.451597	-8.989232	-7.64421	-1.814353	-6.521477	-1.2502851	-4.7010846	-1.8846579	-1.9214993
LOC_Os05g08410.2	-3.553894	-3.218638	-4.9451165	-3.1097727	-3.0590725	-3.8558903	-1.9579268	-2.2749643	-2.8926497	-1.8438168	-1.9508667	-1.9154024
LOC_Os01g23580.1	-8.616165	-4.867252	-7.4069643	-8.415952	-8.997605	-7.6254673	-7.0547748	-4.8702307	-5.3620706	-5.073259	-5.792597	-5.9071445
LOC_Os03g57900.1	-5.3449445	-5.3606167	-5.5407424	-4.00939	-4.2878766	-4.548551	-4.48618	-4.284397	-3.7660875	-4.8522105	-4.21037	-4.3914437
LOC_Os11g08670.1	0.7823858	1.1687059	0.55589294	2.0936012	2.5459719	1.8988934	-1.9243174	-1.1723022	-1.6205969	-1.3143978	-1.421092	-1.3722162
LOC_Os04g47580.1	-5.437599	-6.7155743	-4.6991367	-4.8288336	-5.3156095	-3.927493	-0.46530724	-1.2596865	-3.3815346	-0.7445612	-0.90951157	-0.8980503
LOC_Os03g63370.1	-1.3488646	-2.0668478	-0.6996088	-3.0021744	-3.2514458	-1.8736935	0.74861526	0.056347847	1.2409077	-0.6855202	0.18925667	-0.16060829
LOC_Os10g40100.2	-1.9724026	-2.1087217	-2.5143723	-1.3190145	-1.5606184	-2.235567	-3.8946753	-3.3429108	-2.836647	-4.182173	-3.3568869	-3.5100079
LOC_Os07g01710.1	-2.179202	-2.2441092	-2.6307807	-2.340047	-2.6376934	-2.82646	-2.2020702	-1.9162741	-2.3445072	-1.1896162	-1.2540417	-1.5718098
LOC_Os02g36924.1	-4.2624354	-4.2592816	-3.9455695	-4.112892	-4.5485544	-4.4884486	-6.0540557	-5.800286	-5.2527947	-6.8087783	-5.109472	-5.3306975
LOC_Os09g34250.1	-5.300624	-3.812327	-3.9841914	-9.447601	-8.433879	-7.638751	-6.0404897	-5.8360996	-6.2291713	-7.6149864	-6.9968743	-7.118994
LOC_Os03g52630.2	1.7863083	0.5673809	2.9545097	0.7423382	0.4934311	2.4856815	3.4166946	2.7941284	3.9523153	3.2833195	3.6874228	3.8948002
LOC_Os02g44990.1	-8.283698	-8.968403	-7.31413	-9.45846	-8.847036	-7.590383	-9.731154	-9.49468	-8.427668	-9.173745	-9.781664	-9.40913
LOC_Os12g39420.9	-4.6107836	-4.454206	-4.5683837	-3.1950083	-3.0059156	-3.2469268	-3.9222665	-3.6446724	-3.7616987	-3.2278671	-3.0630903	-3.1832027
LOC_Os08g44770.2	3.5894623	3.1441078	4.332182	2.9281788	3.0424995	4.114167	3.0362425	2.479745	3.2589598	2.19938	2.781023	2.6739655
LOC_Os03g07880.3	-1.4550629	-1.6047525	-1.4424562	-1.3062687	-1.1067667	-1.2932844	-1.4259043	-0.9319229	-1.3713942	-1.9602957	-2.2829866	-2.1626673
LOC_Os04g47870.1	0.23735046	-0.08657074	0.11736202	0.5819359	0.44302368	0.6812353	0.03383732	-0.6283798	0.18352413	0.85394096	1.3536739	1.477355
LOC_Os10g33840.2	-2.30894	-2.116006	-2.3456154	-2.3265667	-2.3409052	-2.5320992	-3.697198	-3.4045486	-2.736989	-4.050114	-3.168888	-3.0910559
LOC_Os03g29760.3	-0.35721874	-0.76661015	-0.57253456	-0.12106609	-0.64010906	-0.81779575	-1.2576265	-1.50031	0.001980782	-1.485651	-0.64661217	-0.41619682
LOC_Os12g17950.1	-8.736126	-9.1780615	-7.4797697	-9.551592	-9.081132	-7.6833334	-9.784967	-9.72278	-8.299691	-9.440915	-10.081606	-9.319674
LOC_Os07g26690.2	3.5120344	3.597022	3.9552326	1.7951841	2.1843796	2.9710073	4.5782366	4.542877	4.7944145	4.512555	4.495739	4.5219717
LOC_Os08g36910.3	-6.899345	-8.191448	-6.9468155	-6.5180306	-7.6625957	-7.0887165	-8.033198	-6.816967	-7.012322	-6.0283113	-6.186182	-6.3215313
LOC_Os02g17500.3	2.8489704	2.489912	2.7243023	2.5786123	2.5054245	2.516182	0.3817854	0.8647413	0.72286224	0.5846405	0.40507698	0.44573212
LOC_Os05g47780.1	-5.3800297	-7.0669055	-6.237232	-4.0884466	-5.8404737	-5.241558	-7.127771	-7.561046	-5.973449	-6.737962	-6.151526	-5.9091268
LOC_Os05g45350.2	0.18357086	0.11041546	0.117936134	-1.1065865	-1.1690636	-1.3664618	-2.1853714	-0.8453922	-1.5691719	-4.17118	-4.264761	-4.1758304
LOC_Os03g11760.1	-8.6551895	-9.14383	-7.01347	-9.269286	-9.049592	-7.6761575	-8.652813	-8.728731	-8.38804	-8.460211	-8.433579	-9.392029
LOC_Os12g05260.1	0.7210684	0.9498005	1.271596	0.39221573	-0.0536623	0.04792595	0.9490061	0.17687988	0.45452118	1.0777559	1.0238924	0.9926014
LOC_Os11g12040.1	-2.3794155	-2.4094248	-3.0337057	-2.7146606	-1.9318752	-3.2369232	-2.1607323	-0.31805325	-0.793602	-1.5437679	-2.8187418	-1.9705772
LOC_Os02g56000.2	1.4573793	1.5473547	1.5063896	1.7964602	2.0241194	2.0460224	1.582509	1.5216799	1.5038643	1.5816202	1.5479431	1.6903057
LOC_Os01g52864.4	-1.9718981	-2.0591936	-2.418075	-1.5582342	-1.6068678	-1.7228069	-1.2859907	-1.4178219	-1.2691011	-1.0587234	-1.0373697	-1.189745
LOC_Os01g16180.4	0.9931059	1.1478767	0.61053944	0.9923992	0.9988241	1.16255	0.20202255	0.36370754	0.4731512	0.72719383	0.85343075	1.0588417
LOC_Os05g07764.2	-5.7174983	-5.526672	-4.4050803	-6.6619387	-6.7396774	-5.753235	-2.965438	-3.8483276	-3.1992474	-3.0933485	-2.9194412	-1.988409
LOC_Os09g02214.3	3.415842	3.1036615	2.6460047	3.3460903	3.06888	3.0422382	0.8590393	1.2500925	1.3902807	0.63078403	1.0339928	1.0594387
LOC_Os12g06480.2	-6.2795386	-6.44185	-6.557251	-7.1740613	-6.859907	-7.694154	-4.1201553	-4.2736764	-6.51859	-3.8439722	-4.080597	-3.8597212
LOC_Os09g24200.2	-1.2208471	-1.0407429	-1.4604921	-1.7385654	-1.6808987	-1.8117104	-1.3325577	-0.9664278	-1.3442898	-1.3144112	-1.352066	-1.3395748
LOC_Os01g51890.1	2.2922106	2.6277676	2.7799807	2.1864939	2.5206318	2.1268587	-1.1947136	-0.9119787	-1.3064384	-2.3442411	-1.9789171	-2.006895
